Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls
95,415,No,Yes,22,40.9,126,6.95,133.4,90
46,415,No,No,0,124.8,133,21.22,157.3,143
100,510,Yes,No,0,68.5,110,11.65,337.1,115
47,415,No,Yes,37,163.5,77,27.8,203.1,102
77,415,No,No,0,163,112,27.71,219.1,89
98,415,No,Yes,38,213.7,61,36.33,253,104
125,415,No,Yes,36,201.3,117,34.22,42.2,78
67,510,No,No,0,310.4,97,52.77,66.5,123
194,408,No,No,0,48.4,101,8.23,281.1,138
128,415,No,Yes,40,171.2,88,29.1,145.7,109
190,415,No,Yes,22,166.5,93,28.31,183,92
165,415,No,No,0,216.6,126,36.82,190.8,104
59,408,No,No,0,107.8,113,18.33,216.6,125
47,408,No,Yes,28,141.3,94,24.02,168,108
150,415,No,Yes,29,209.9,77,35.68,158,52
152,415,Yes,Yes,20,237.5,120,40.38,253.4,94
26,415,No,No,0,234.5,109,39.87,216.5,129
79,510,No,Yes,31,103.1,90,17.53,243,135
95,510,No,Yes,27,129.5,106,22.02,248.9,90
69,510,Yes,No,0,279.8,90,47.57,248.7,91
95,510,Yes,Yes,41,136.8,91,23.26,200.8,61
31,415,No,Yes,31,100.1,54,17.02,246.3,97
121,408,No,Yes,31,237.1,63,40.31,205.6,117
111,415,No,No,0,172.8,58,29.38,183.1,108
157,415,No,No,0,224.5,111,38.17,200.7,99
44,510,No,No,0,288.1,112,48.98,258,92
61,510,Yes,No,0,78.2,103,13.29,195.9,149
65,415,No,No,0,148.7,80,25.28,259,94
74,415,No,Yes,25,194.6,84,33.08,119.9,103
123,408,No,No,0,159.5,77,27.12,303.8,92
58,408,No,Yes,20,194.5,110,33.07,213.7,89
74,408,No,No,0,174.1,96,29.6,251.1,94
125,415,No,No,0,131.8,97,22.41,136.7,100
80,415,No,No,0,160.6,103,27.3,237,109
53,408,No,Yes,18,146.8,107,24.96,310,84
99,408,No,Yes,28,200.7,88,34.12,264.2,116
99,415,No,No,0,145.6,106,24.75,98.3,106
66,415,No,Yes,29,229.4,104,39,257.4,84
97,510,No,No,0,211,76,35.87,189,100
75,510,No,Yes,37,121.5,97,20.66,271.4,110
85,510,Yes,No,0,216,73,36.72,188.2,117
108,510,No,No,0,293,88,49.81,160.6,101
133,408,Yes,Yes,32,221.1,137,37.59,264.9,99
51,510,No,No,0,181.5,108,30.86,196.9,87
186,415,No,Yes,26,74.3,107,12.63,177.3,116
44,415,Yes,No,0,62.3,92,10.59,275,82
64,408,No,Yes,31,228.6,88,38.86,248.5,109
44,510,No,No,0,228.1,121,38.78,276.5,79
114,415,No,Yes,36,309.9,90,52.68,200.3,89
92,415,No,No,0,201.9,74,34.32,226.8,119
110,408,No,No,0,149.8,112,25.47,180,93
90,408,No,Yes,30,183.8,76,31.25,229.7,95
72,408,No,Yes,21,186.7,108,31.74,335,86
113,415,No,No,0,209.4,151,35.6,347.3,113
171,415,No,Yes,25,223.2,77,37.94,183.2,118
104,415,No,No,0,164.2,109,27.91,155.4,90
165,408,No,No,0,150.5,75,25.59,193.1,93
104,510,No,No,0,234.2,128,39.81,293.1,92
110,408,No,No,0,55.3,102,9.4,164.7,124
90,408,Yes,No,0,221.8,97,37.71,203.8,134
114,415,No,No,0,169.6,85,28.83,58.9,86
101,408,No,No,0,89.7,118,15.25,260.1,79
117,408,No,Yes,14,80.2,81,13.63,219,103
109,408,No,No,0,218.9,105,37.21,299.9,87
82,408,No,No,0,125.7,96,21.37,207.6,137
92,510,No,No,0,176.3,85,29.97,93.4,125
82,510,No,Yes,29,207.2,111,35.22,254.1,137
90,415,No,No,0,205.7,138,34.97,161.9,83
87,408,No,Yes,28,151.4,95,25.74,152.4,97
124,510,No,No,0,157.5,70,26.78,130.7,79
39,408,No,No,0,160.4,68,27.27,102.6,103
84,415,No,No,0,159,80,27.03,167.9,128
75,510,No,Yes,46,214.1,62,36.4,200.9,111
102,510,No,No,0,102.6,89,17.44,246,77
62,415,Yes,No,0,159.7,86,27.15,197.5,76
143,510,No,No,0,202.8,109,34.48,165.8,104
53,415,No,No,0,57.5,95,9.78,265.5,131
30,415,No,No,0,169.9,144,28.88,225.2,118
112,415,No,No,0,335.5,77,57.04,212.5,109
129,415,No,No,0,139.5,119,23.72,289.3,105
63,415,No,Yes,29,142.3,107,24.19,118.7,56
28,415,No,No,0,187.8,94,31.93,248.6,86
111,415,No,No,0,146.2,55,24.85,261.5,83
91,510,No,No,0,231.8,120,39.41,150.6,106
90,415,No,No,0,193.7,83,32.93,154.2,79
151,510,No,No,0,156.4,108,26.59,233.4,118
105,415,Yes,Yes,29,220.7,82,37.52,217.7,110
41,408,No,Yes,37,239.8,110,40.77,221.9,115
48,510,No,Yes,43,172,111,29.24,200.2,64
166,408,Yes,Yes,35,128.2,138,21.79,274.5,113
79,510,No,No,0,130.2,119,22.13,290.9,121
153,510,No,No,0,195.4,107,33.22,154.6,96
110,415,Yes,No,0,293.3,79,49.86,188.5,90
163,415,No,No,0,191.3,89,32.52,193.9,87
126,510,No,No,0,122.4,88,20.81,143.8,111
105,408,No,Yes,33,209.6,68,35.63,146.9,140
172,415,No,No,0,215.7,140,36.67,146.3,84
126,415,No,No,0,161.4,110,27.44,220.6,125
97,510,No,No,0,144.2,91,24.51,226.7,137
95,408,Yes,Yes,37,220.2,109,37.43,185.3,99
87,510,No,No,0,256.2,105,43.55,160.7,102
97,415,No,No,0,112.7,119,19.16,217.7,109
76,415,No,No,0,299.5,125,50.92,226.7,92
140,408,No,No,0,194.8,107,33.12,170.9,99
169,415,No,No,0,100.8,112,17.14,230,69
68,408,No,Yes,22,82.5,97,14.03,289.9,94
122,415,No,Yes,34,146.4,104,24.89,89.7,103
36,408,No,No,0,177.9,129,30.24,224.6,87
120,510,No,Yes,27,153.5,84,26.1,194,73
121,408,No,No,0,150.7,105,25.62,197.3,133
64,408,No,Yes,19,180.1,106,30.62,127.5,92
13,415,No,Yes,31,265.3,94,45.1,147.6,95
106,415,No,No,0,128.6,83,21.86,134,114
88,415,No,No,0,161.5,92,27.46,173.5,108
74,408,No,No,0,165.3,120,28.1,198.5,106
83,415,No,No,0,195,92,33.15,210.5,83
49,415,No,No,0,213.8,79,36.35,265.1,93
111,510,No,Yes,24,205.5,114,34.94,219.3,99
50,415,No,Yes,22,252.9,112,42.99,177.9,99
153,408,No,Yes,28,235.6,74,40.05,227.9,37
88,415,No,No,0,192,91,32.64,127.6,127
131,415,No,Yes,39,69.1,122,11.75,101.3,136
79,408,No,No,0,261.7,97,44.49,210.6,48
140,415,No,No,0,235.5,81,40.04,257.2,130
105,408,No,No,0,213.4,100,36.28,204.9,52
54,415,No,Yes,39,206.9,143,35.17,127.8,72
87,415,No,Yes,22,263.8,65,44.85,103.4,115
96,510,No,Yes,31,183.4,126,31.18,195.5,106
79,510,No,No,0,157.6,85,26.79,194.1,92
55,415,No,No,0,175.6,147,29.85,161.8,118
130,415,No,No,0,242.5,101,41.23,102.8,114
34,415,No,No,0,151,102,25.67,131.4,101
139,415,No,No,0,138.1,103,23.48,164.5,100
109,408,No,No,0,264.7,69,45,305,120
65,408,No,Yes,31,282.3,70,47.99,152,89
63,415,No,No,0,211.2,80,35.9,237.7,93
152,415,No,No,0,197.1,126,33.51,130.1,76
147,408,No,No,0,205.3,95,34.9,166.7,128
112,415,No,Yes,22,181.8,110,30.91,228.1,123
120,415,No,No,0,252,120,42.84,150.2,106
27,510,No,No,0,193.8,102,32.95,118.9,104
171,415,No,No,0,231.2,135,39.3,188.7,74
101,415,No,Yes,33,200.1,108,34.02,188.9,122
32,408,No,Yes,26,266.7,109,45.34,232.3,107
3,415,No,Yes,36,118.1,117,20.08,221.5,125
151,408,No,No,0,175.3,106,29.8,144.3,87
60,408,No,No,0,125.1,99,21.27,248.8,62
119,415,No,No,0,176.8,90,30.06,224.7,81
43,415,No,No,0,241.9,101,41.12,129.4,121
42,408,No,No,0,241.2,134,41,116.5,114
84,408,No,No,0,217.1,99,36.91,236,68
65,510,No,No,0,195.4,110,33.22,181.2,109
75,415,Yes,No,0,222.4,78,37.81,327,111
116,510,No,No,0,189.5,90,32.22,189.8,118
107,415,No,No,0,123.1,100,20.93,158.4,82
189,415,No,Yes,38,256.7,98,43.64,150.5,120
123,408,No,No,0,159.1,94,27.05,241.6,119
110,408,No,No,0,100.1,90,17.02,233.3,93
63,415,No,Yes,32,30.9,113,5.25,187,113
176,415,No,No,0,223.2,76,37.94,214.4,131
108,510,No,No,0,187.4,101,31.86,199.9,126
13,510,No,Yes,21,315.6,105,53.65,208.9,71
71,415,No,No,0,277.5,104,47.18,131.8,121
88,415,No,No,0,189.8,111,32.27,197.3,101
137,510,No,No,0,147.2,119,25.02,192.8,91
82,408,No,No,0,185.8,36,31.59,276.5,134
92,510,No,Yes,29,155.4,110,26.42,188.5,104
165,510,No,No,0,154.2,91,26.21,268.6,108
96,415,No,No,0,97.6,98,16.59,105.5,118
156,415,No,No,0,178.8,94,30.4,178.4,97
63,408,No,No,0,149.3,104,25.38,273.6,75
37,415,No,No,0,206,89,35.02,186,88
98,415,No,No,0,216.8,86,36.86,190.8,114
121,415,No,No,0,103.3,110,17.56,129.1,82
94,415,No,No,0,139.4,95,23.7,159.1,92
99,415,No,No,0,191.2,110,32.5,163.9,102
163,510,No,Yes,23,160,104,27.2,189.4,64
161,510,No,No,0,221.7,95,37.69,193,82
99,415,No,No,0,62.9,81,10.69,231,64
108,415,No,No,0,215.6,78,36.65,195.3,119
84,510,No,Yes,42,165.3,97,28.1,223.5,118
83,415,Yes,Yes,32,94.7,111,16.1,154.4,98
139,510,No,No,0,203.2,81,34.54,152.5,99
69,510,No,No,0,195.3,70,33.2,216.7,108
129,510,No,No,0,143.7,114,24.43,297.8,98
106,415,No,No,0,114.4,104,19.45,78.3,101
158,415,No,No,0,222.8,101,37.88,203,128
168,415,No,Yes,22,175.9,70,29.9,211.7,105
115,510,Yes,No,0,249.9,95,42.48,242.5,104
57,408,Yes,Yes,30,234.5,130,39.87,195.2,116
67,415,No,No,0,210.7,116,35.82,219.2,86
127,408,No,No,0,182.3,124,30.99,169.9,110
78,510,No,No,0,190.3,88,32.35,194.5,89
100,415,No,Yes,38,177.1,88,30.11,163.7,108
103,510,No,Yes,36,87.2,92,14.82,169.3,110
113,415,No,No,0,215.6,96,36.65,193.4,127
78,510,No,No,0,137.4,109,23.36,237.6,49
129,510,No,Yes,36,192.8,103,32.78,177,83
57,510,No,No,0,149.3,100,25.38,200.2,110
82,408,No,No,0,143.7,116,24.43,170.7,99
64,415,No,No,0,224.8,111,38.22,190,101
86,510,No,Yes,39,261.2,122,44.4,214.2,101
151,415,No,Yes,26,196.5,98,33.41,175.8,111
94,510,No,No,0,271.2,105,46.1,202.6,105
90,415,No,No,0,207.2,121,35.22,292.5,104
48,510,No,No,0,300.4,94,51.07,133.2,103
85,408,No,Yes,37,229.6,123,39.03,132.3,90
93,415,Yes,Yes,20,187.5,110,31.88,169.8,94
169,415,Yes,No,0,57.1,98,9.71,199.7,78
68,415,No,No,0,162.1,86,27.56,155,86
91,415,Yes,No,0,145,89,24.65,175.8,102
68,510,No,No,0,159.5,123,27.12,240.8,93
101,510,No,No,0,190.7,72,32.42,208.6,103
67,510,No,Yes,20,230.6,40,39.2,189.1,58
66,415,No,No,0,34,133,5.78,278.6,61
116,415,No,Yes,17,193.4,112,32.88,240.6,131
158,408,No,No,0,202,126,34.34,163.5,86
78,415,No,No,0,191.7,122,32.59,241.4,88
119,415,No,Yes,26,161.3,97,27.42,250.3,110
120,415,No,No,0,150.6,85,25.6,119,128
155,510,No,No,0,184.6,102,31.38,196,117
106,408,No,No,0,220.7,120,37.52,270.2,95
87,510,Yes,No,0,167.3,119,28.44,198.5,119
146,415,No,Yes,32,154,80,26.18,185.5,91
101,415,No,Yes,29,121.1,116,20.59,186.4,100
22,510,No,Yes,23,182.1,94,30.96,164.6,59
90,415,No,No,0,109.6,88,18.63,137.6,108
41,415,No,No,0,209.9,105,35.68,121.9,105
69,415,No,No,0,167.5,76,28.48,242.1,92
33,415,No,No,0,213.9,88,36.36,239.8,119
112,415,No,No,0,115.8,108,19.69,243.3,111
108,510,No,Yes,30,276.6,99,47.02,220.1,113
136,415,No,Yes,21,179.4,88,30.5,181.1,97
128,510,No,No,0,187.3,84,31.84,270.8,95
27,408,No,No,0,201.2,128,34.2,227.2,100
161,415,Yes,No,0,189.6,78,32.23,267.4,117
33,415,No,Yes,35,186.8,124,31.76,261,69
120,415,No,Yes,31,153.5,83,26.1,219.1,96
113,415,No,No,0,187.6,97,31.89,208.2,118
122,415,Yes,No,0,230.9,132,39.25,243.2,99
148,415,No,Yes,26,244.9,150,41.63,118,138
74,415,No,No,0,230.9,93,39.25,223,78
106,415,No,No,0,187.1,104,31.81,250.2,117
179,415,No,No,0,170.7,54,29.02,191.1,108
149,415,Yes,Yes,28,126.9,97,21.57,166.9,102
77,510,No,No,0,189.5,112,32.22,207,95
127,408,Yes,No,0,176.9,110,30.07,167.9,100
80,415,No,No,0,161.1,99,27.39,198.8,81
106,510,No,No,0,169.4,107,28.8,197.2,71
61,415,No,Yes,20,254.4,133,43.25,161.7,96
135,510,Yes,Yes,24,127.7,54,21.71,215,105
115,415,No,Yes,26,170.5,107,28.99,217.2,77
167,408,Yes,No,0,219.1,100,37.25,242.9,90
107,510,Yes,No,0,273.5,104,46.5,183.8,68
112,415,Yes,No,0,161.9,138,27.52,200.9,114
35,510,No,Yes,27,241.7,87,41.09,142,101
103,408,Yes,No,0,62.8,124,10.68,170.4,66
107,415,No,Yes,22,281.1,83,47.79,143.7,130
69,415,No,No,0,228.2,70,38.79,263.7,80
85,408,No,No,0,209.8,82,35.67,194.5,94
24,408,No,No,0,265.6,86,45.15,208.8,102
90,415,No,No,0,214.9,97,36.53,117.8,117
137,510,No,No,0,110.5,79,18.79,223.2,111
92,415,Yes,Yes,45,281.1,88,47.79,198,103
38,415,No,No,0,137.8,86,23.43,286.3,76
69,510,Yes,Yes,33,271.5,98,46.16,253.4,102
45,408,No,No,0,112.8,108,19.18,218.8,120
73,408,No,No,0,187.3,118,31.84,239.7,90
92,415,No,No,0,197,84,33.49,269.3,105
113,415,No,Yes,32,180.4,89,30.67,129.4,124
68,408,Yes,No,0,148.5,126,25.25,219.4,125
135,415,No,Yes,22,197.1,113,33.51,259.4,95
100,415,No,Yes,26,153.7,115,26.13,137.8,146
96,415,No,Yes,27,261.3,96,44.42,220.9,101
108,510,No,No,0,246.2,102,41.85,202.4,134
84,510,No,No,0,191,88,32.47,318.8,119
134,408,No,No,0,208.3,86,35.41,253.6,89
72,415,No,No,0,253,73,43.01,219.3,78
83,408,No,No,0,202.3,87,34.39,201.5,111
137,408,No,No,0,174.4,120,29.65,156.3,98
56,415,No,Yes,30,127.1,89,21.61,172.1,116
61,510,Yes,Yes,16,143.5,76,24.4,242.6,58
171,510,No,Yes,17,186.9,94,31.77,240,138
123,510,No,No,0,194,118,32.98,242,114
58,510,No,No,0,234.8,89,39.92,106.8,131
156,510,No,No,0,123.7,96,21.03,103,80
166,510,No,No,0,173.9,103,29.56,276.4,83
75,510,No,Yes,41,130.9,115,22.25,203.4,110
75,415,No,No,0,314.6,102,53.48,169.8,86
83,510,No,No,0,227.9,78,38.74,207.5,115
243,510,No,No,0,95.5,92,16.24,163.7,63
153,408,No,No,0,185.3,127,31.5,208,73
150,415,No,No,0,146.3,133,24.87,202.7,95
92,510,No,Yes,16,184,99,31.28,76.4,134
80,415,No,No,0,105.8,110,17.99,43.9,88
134,415,No,No,0,178,110,30.26,153.8,64
77,510,No,Yes,24,149.4,74,25.4,123.9,72
147,510,No,No,0,209.4,104,35.6,132.5,78
74,415,No,No,0,172.1,105,29.26,211.7,99
138,510,Yes,No,0,169.3,82,28.78,217.9,147
143,415,No,No,0,119.1,117,20.25,287.7,136
64,415,No,No,0,194.2,147,33.01,173.4,87
120,510,No,No,0,198.8,56,33.8,230.1,73
121,408,Yes,No,0,167.7,94,28.51,93.7,121
88,415,No,No,0,202.2,86,34.37,216.8,93
87,408,No,No,0,322.5,106,54.83,204.6,93
100,510,No,No,0,216.2,107,36.75,215.6,84
104,415,No,No,0,76.4,116,12.99,115.6,74
27,510,No,No,0,72.7,75,12.36,208.6,117
81,415,No,Yes,31,210.4,100,35.77,225.5,97
64,510,Yes,Yes,33,127.2,93,21.62,162.9,104
107,510,No,Yes,28,201.8,79,34.31,304.9,128
88,415,No,Yes,17,219.5,78,37.32,222.1,94
111,408,No,No,0,99.3,112,16.88,270.5,136
77,415,No,No,0,239.2,114,40.66,150,115
67,415,Yes,No,0,120.9,58,20.55,235,88
102,408,No,No,0,224.7,81,38.2,129.4,112
146,408,No,Yes,19,176.6,88,30.02,162.7,66
144,415,No,Yes,51,283.9,98,48.26,192,109
96,415,No,No,0,180.6,92,30.7,190.9,114
70,415,No,Yes,31,125.9,101,21.4,196.4,102
149,408,No,No,0,237.6,79,40.39,192.4,107
129,415,No,No,0,198.4,91,33.73,264.7,106
166,408,No,No,0,274.3,110,46.63,52.9,109
136,408,Yes,No,0,199.6,89,33.93,211.4,96
149,510,No,No,0,217.7,91,37.01,273.5,74
70,415,No,No,0,134.7,96,22.9,235.9,90
120,415,No,Yes,24,212.7,73,36.16,257.5,103
66,510,No,No,0,256.3,135,43.57,180.2,106
104,408,No,No,0,183.6,133,31.21,120.7,98
160,415,No,No,0,176.2,90,29.95,196,115
129,415,No,Yes,37,205,94,34.85,165.4,103
93,408,No,No,0,267.9,114,45.54,223,74
169,415,No,No,0,179.2,111,30.46,175.2,130
58,415,No,No,0,149.4,145,25.4,196.5,105
75,510,No,Yes,38,163.6,132,27.81,146.7,113
45,408,No,No,0,207.6,71,35.29,152.7,94
155,510,No,No,0,165.4,108,28.12,183.7,103
52,415,No,No,0,209.8,114,35.67,171.3,82
119,415,No,Yes,27,220.1,128,37.42,268.2,133
86,510,No,No,0,141.3,72,24.02,154.3,95
42,408,No,No,0,196.5,89,33.41,241.3,123
127,510,Yes,No,0,180.9,114,30.75,209.5,118
123,408,No,No,0,105,150,17.85,251.6,90
98,510,No,No,0,271.4,119,46.14,190.4,102
149,510,No,Yes,43,206.7,79,35.14,174.6,122
160,408,No,No,0,166.8,109,28.36,236,117
103,415,No,No,0,204.9,107,34.83,135.2,102
132,415,No,Yes,15,154.6,128,26.28,245.6,106
137,415,No,No,0,127,107,21.59,323.2,75
129,415,Yes,No,0,267.4,78,45.46,204.2,85
62,415,No,No,0,281,66,47.77,160.6,108
122,510,No,Yes,33,270.8,96,46.04,220.4,110
32,408,No,No,0,171.2,82,29.1,185.6,102
86,510,No,No,0,124.1,82,21.1,202.6,120
130,415,No,No,0,162.8,113,27.68,290.3,111
42,408,No,No,0,146.3,84,24.87,255.9,113
73,415,No,No,0,254.8,85,43.32,143.4,80
66,408,No,Yes,26,254.9,108,43.33,243.2,135
103,510,No,Yes,31,107.7,124,18.31,188.9,104
128,408,No,No,0,158.8,75,27,264.8,91
104,415,No,No,0,182.9,113,31.09,239.6,85
103,415,No,No,0,198.5,112,33.75,42.5,90
124,415,No,No,0,178.4,72,30.33,233.6,134
87,510,No,No,0,110.9,91,18.85,158.5,115
109,415,No,Yes,27,166.9,85,28.37,221.2,92
167,415,Yes,No,0,244.8,91,41.62,60.8,105
97,510,No,No,0,120.8,96,20.54,169.8,101
106,415,No,No,0,165.3,118,28.1,210,101
125,415,No,No,0,126.7,113,21.54,155.5,131
108,408,No,Yes,35,215.9,106,36.7,200.6,107
125,415,No,No,0,140.1,132,23.82,209.6,126
89,415,No,Yes,32,209.9,113,35.68,249.8,104
72,510,Yes,Yes,29,139.8,114,23.77,138.2,91
23,510,No,No,0,321.6,107,54.67,251.6,115
149,510,No,No,0,166.6,61,28.32,218.8,107
73,415,No,No,0,214.2,90,36.41,196.8,78
61,415,No,No,0,260,123,44.2,210.5,127
161,415,No,No,0,191.9,113,32.62,70.9,87
73,408,No,No,0,213,95,36.21,188.8,104
118,415,No,Yes,24,118.1,83,20.08,109.6,72
23,408,No,No,0,190.2,89,32.33,166.4,108
127,415,No,Yes,25,82.2,95,13.97,163.3,109
42,415,No,Yes,32,163.8,80,27.85,177.8,123
118,415,No,No,0,267.8,145,45.53,316.4,121
45,510,No,No,0,159.8,91,27.17,120.4,86
50,408,No,Yes,24,214.3,129,36.43,289.8,55
179,510,No,No,0,287.3,123,48.84,288,114
152,408,No,No,0,101.2,122,17.2,141.6,87
105,415,No,No,0,102.8,74,17.48,281.7,125
72,415,No,No,0,109.1,97,18.55,115.7,96
52,408,No,No,0,215.9,67,36.7,217,108
125,415,No,No,0,203.4,110,34.58,128.7,97
143,510,No,No,0,110.1,113,18.72,169,59
65,415,No,No,0,111,51,18.87,219.8,84
80,415,No,No,0,239.9,121,40.78,142.3,51
1,415,No,No,0,144.8,107,24.62,112.5,66
60,408,No,No,0,135.4,134,23.02,205.9,85
43,415,No,No,0,84.2,134,14.31,80.8,103
143,415,No,No,0,209.1,127,35.55,106.1,80
81,415,No,Yes,24,130.1,117,22.12,196,61
205,510,No,Yes,24,175.8,139,29.89,155,98
24,415,No,No,0,241.9,104,41.12,145.2,112
74,415,No,No,0,136.7,106,23.24,228.6,105
77,510,No,No,0,67.7,68,11.51,195.7,86
74,415,No,No,0,200.4,87,34.07,309.2,105
74,510,Yes,No,0,125.8,103,21.39,207.7,96
200,408,No,No,0,128.2,87,21.79,133.2,105
86,408,No,No,0,226.3,88,38.47,223,107
91,510,No,Yes,37,162.3,107,27.59,233.9,115
76,415,No,No,0,224.4,121,38.15,147.9,97
130,415,No,No,0,120.5,127,20.49,189.7,52
56,408,No,No,0,91.1,90,15.49,179.3,115
117,415,No,No,0,168.8,137,28.7,241.4,107
63,510,No,No,0,153.5,81,26.1,287.3,115
126,415,No,No,0,226.2,88,38.45,140.3,114
132,510,No,No,0,191.9,107,32.62,206.9,127
81,415,No,Yes,28,167.9,147,28.54,190.7,105
122,415,No,No,0,180,88,30.6,145,77
46,408,No,No,0,257.4,67,43.76,261.1,91
150,415,No,Yes,28,174.4,75,29.65,169.9,80
99,408,No,No,0,159.7,83,27.15,155.4,121
87,408,No,No,0,237.2,124,40.32,222.6,87
108,415,No,No,0,103,129,17.51,242.3,103
101,415,No,No,0,153.8,89,26.15,234,89
53,415,No,No,0,205.1,86,34.87,160.5,95
132,415,No,Yes,39,175.7,93,29.87,187.2,94
158,510,No,No,0,155.9,123,26.5,224.2,112
114,415,No,Yes,34,154.4,109,26.25,221.4,142
77,415,No,Yes,23,209.7,73,35.65,183.6,63
144,415,Yes,No,0,150,69,25.5,285.9,73
91,510,No,Yes,23,232.4,97,39.51,186,88
58,408,No,No,0,165.4,100,28.12,115.7,87
5,415,No,No,0,199.2,106,33.86,187.3,12
97,408,No,No,0,217.6,81,36.99,320.5,51
107,415,No,No,0,212.1,95,36.06,150.1,88
142,415,No,Yes,30,154,75,26.18,165.8,97
9,408,No,Yes,31,193.8,130,32.95,202.6,98
73,415,No,No,0,175.4,130,29.82,248.1,105
48,510,No,Yes,22,152,63,25.84,258.8,131
43,408,No,No,0,230.2,147,39.13,186.7,121
122,408,No,Yes,33,174.9,103,29.73,248.2,105
93,415,No,No,0,190.2,68,32.33,262.2,64
85,415,No,No,0,176.4,122,29.99,224.9,123
59,415,No,No,0,160.9,95,27.35,251.2,65
87,415,No,No,0,228.7,90,38.88,163,99
137,408,No,No,0,144,90,24.48,181.6,100
21,510,No,Yes,31,135.9,90,23.1,271,84
129,510,No,No,0,334.3,118,56.83,192.1,104
104,415,No,No,0,130.5,77,22.19,131.2,117
93,408,No,Yes,21,134.2,105,22.81,162.5,128
63,415,No,No,0,278,102,47.26,266.4,114
161,415,No,No,0,105.4,70,17.92,214.8,122
50,510,No,No,0,188.9,94,32.11,203.9,104
103,408,No,Yes,24,111.8,85,19.01,239.6,102
84,415,No,Yes,33,159.1,106,27.05,149.8,101
92,510,No,No,0,212.4,105,36.11,224.6,118
77,415,No,No,0,142.3,112,24.19,306.3,111
64,415,Yes,No,0,346.8,55,58.96,249.5,79
159,415,No,Yes,15,113.9,102,19.36,145.3,146
110,415,Yes,Yes,27,267.9,103,45.54,263.3,74
138,510,No,No,0,171.4,117,29.14,115.2,128
178,408,No,No,0,275.4,150,46.82,187.5,62
38,415,No,Yes,31,197.2,118,33.52,249.9,70
50,415,No,Yes,35,192.6,97,32.74,135.2,101
45,510,No,Yes,26,91.7,104,15.59,150.6,119
70,510,No,No,0,126.3,99,21.47,141.6,106
147,510,No,Yes,33,251.5,107,42.76,234.1,110
94,510,No,No,0,190.6,108,32.4,152.3,95
179,510,No,No,0,116.1,101,19.74,201.8,99
116,415,No,No,0,217.3,91,36.94,216.1,95
59,510,No,No,0,179.4,80,30.5,232.5,99
165,415,No,No,0,207.7,109,35.31,164.8,94
133,408,No,No,0,277.3,138,47.14,228.4,117
140,415,No,No,0,125.3,84,21.3,167.6,121
93,408,No,Yes,32,138.1,91,23.48,167.3,72
52,510,No,Yes,38,169.3,88,28.78,225.9,97
64,415,No,Yes,27,201.3,101,34.22,143.8,89
12,510,Yes,No,0,216.7,117,36.84,116.5,126
48,415,No,No,0,190.4,92,32.37,317.5,85
181,408,No,No,0,143.3,91,24.36,195.5,58
168,415,No,Yes,42,97.4,57,16.56,203.6,98
155,415,No,No,0,181.4,111,30.84,167.7,92
105,510,No,No,0,246.4,83,41.89,256.2,101
11,415,No,No,0,143.4,130,24.38,289.4,50
182,415,No,No,0,104.9,111,17.83,198.5,120
104,415,No,No,0,156.2,93,26.55,193,54
102,415,No,No,0,114.8,125,19.52,81.9,126
122,415,No,No,0,232.5,96,39.53,205.5,120
41,415,No,No,0,143.6,117,24.41,152.4,108
132,415,No,No,0,176.7,132,30.04,244.1,80
76,415,No,No,0,263.4,148,44.78,230.3,69
13,415,No,No,0,146.4,74,24.89,148.5,92
115,415,No,Yes,33,145,72,24.65,194.5,157
67,408,No,No,0,167.8,91,28.53,167.7,69
154,510,No,No,0,166.9,99,28.37,154.9,97
100,510,No,No,0,142.5,87,24.23,195.7,88
146,510,Yes,No,0,133,65,22.61,262.8,93
148,415,No,Yes,11,252.9,129,42.99,284.3,88
67,415,No,Yes,28,95,94,16.15,291.2,73
161,510,Yes,No,0,194.2,106,33.01,249.4,105
70,415,No,No,0,222.8,114,37.88,215.9,113
116,510,No,No,0,201.8,82,34.31,231.5,95
99,415,No,Yes,42,216,125,36.72,232.3,104
87,415,No,No,0,146.3,108,24.87,171.8,102
87,510,No,No,0,234.8,85,39.92,140.9,91
70,408,No,No,0,198.6,111,33.76,213.9,115
131,408,No,No,0,94.4,80,16.05,215.1,101
119,510,No,No,0,190.4,74,32.37,215.6,113
119,408,No,Yes,32,142.6,77,24.24,208.2,126
87,510,Yes,No,0,134.2,80,22.81,165,71
112,415,No,No,0,111.9,92,19.02,114,143
75,415,No,No,0,122.8,89,20.88,211.3,104
150,510,No,No,0,189.3,77,32.18,220.9,105
161,510,No,Yes,38,240.4,112,40.87,201.8,102
91,510,Yes,Yes,24,93.5,112,15.9,183.4,128
124,415,No,No,0,158.6,104,26.96,211.2,77
94,510,Yes,No,0,243.2,109,41.34,147,88
217,408,No,No,0,176.4,115,29.99,158.8,128
158,510,No,No,0,220.9,129,37.55,242.2,108
102,415,No,No,0,144.4,87,24.55,266.5,128
85,510,No,No,0,212.3,107,36.09,228.4,103
79,510,No,No,0,147,72,24.99,165.7,102
139,510,No,Yes,25,96.2,112,16.35,178.9,70
103,415,No,No,0,263.4,118,44.78,179.1,69
98,415,Yes,No,0,12.5,67,2.13,256.6,90
78,408,No,No,0,162.3,116,27.59,192.4,86
50,408,No,No,0,183.6,107,31.21,58.6,118
